,Job_Title,Company_Website,Seniority Level,Employment Type,Job Function,Industry Type,Selected Role Daily Task
0,Data Scientist,https://www.linkedin.com/company/fusemachines,Mid-Senior level,Contract,Engineering and Information Technology,Internet Publishing,"Fusemachines seeks a Data Scientist for a remote, contract-based role to lead cloud-based big data applications using Python and Spark."
1,Data Scientist,https://in.linkedin.com/company/acmeservices,Mid-Senior level,Full-time,Engineering and Information Technology,Retail,"Job Description:
- Improve algorithms for job search, image segmentation, personalized recommendations, and user profiling."
2,Data Scientist - Kochi,https://in.linkedin.com/company/ripplesindia-group,Entry level,Full-time,Engineering and Information Technology,"Airlines and Aviation, Aviation and Aerospace Component Manufacturing, and Banking","Seeking experienced Data Scientist for predictive modeling, data analysis, and communication of insights."
3,Software Engineer - AI/ML,https://in.linkedin.com/company/mindfire-solutions,Entry level,Full-time,Engineering and Information Technology,Software Development,"AI/ML Engineer designs, validates, and integrates cutting-edge machine learning models and algorithms."
4,Data Science,https://in.linkedin.com/company/acmeservices,Entry level,Full-time,Other,Human Resources Services,Seeking skilled Data Scientists for independent research in statistical and machine learning domains.
5,ML Engineer,https://in.linkedin.com/company/zerozillaofficial,Entry level,Full-time,Engineering and Information Technology,Information Technology & Services,"Machine Learning Engineer job at SA Tech in Bangalore, requiring 3-6 years of experience, with a focus on Python SDK, HPO, and cloud platforms."
6,Data Scientist,https://www.linkedin.com/company/amgen,Associate,Full-time,Engineering and Information Technology,Biotechnology Research,"Data engineer role requires expertise in code navigation, undocumented code comprehension, and data transformation analysis, with a focus on learning new programming languages."
7,Machine Learning Engineer(ML),https://in.linkedin.com/company/tamcherry-zaportiv,Entry level,Full-time,Engineering and Information Technology,Information Technology & Services,"ML Engineer job in Navi Mumbai, Mumbai, or Pune requires experience in AI/ML projects, Master's in IT/Data Science, and Python proficiency."
8,AI ML Developer-Python Programming,https://in.linkedin.com/company/yo-hr-consultancy-pvt-ltd,Associate,Full-time,Engineering and Information Technology,Business Consulting and Services,"AI/ML Developer role in Mumbai requires 3-5 years of experience in Python, TensorFlow, and PyTorch for developing and deploying AI models."
9,Data Scientist,https://in.linkedin.com/company/talent-socio,Entry level,Full-time,Engineering and Information Technology,Human Resources Services,"Housing finance company seeks data analyst for customer income prediction, loan performance, and credit risk."
10,Junior ML Engineer,https://in.linkedin.com/company/qweensnetwork,Entry level,Full-time,Other,IT Services and IT Consulting,"Experienced Machine Learning Engineer with 4+ years in deploying models, Python proficiency, and Big Data frameworks knowledge."
11,Python Developer / Fresher Batch(2023-24 Batch)-,https://www.linkedin.com/company/interai-technologies,Entry level,Full-time,Engineering and Information Technology,Software Development,"Java developer with 0-1 year experience in QA automation, UI automation, backend application automation, and performance testing."
12,Data Scientist - Deputy Manager,https://in.linkedin.com/company/axiom-pursuits,Associate,Full-time,Engineering and Information Technology,Human Resources Services,"General insurance company seeks Deputy Manager with 4+ years of experience for data analysis, modeling, and visualization in Pune, India."
13,"Senior Machine Learning Engineer, Recommendations",https://www.linkedin.com/company/roku,Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,Roku seeks an experienced Machine Learning engineer to build personalized content recommendations for its streaming platform.
14,Lead Data Scientist,https://www.linkedin.com/company/freshworks-inc,Associate,Full-time,Information Technology,Software Development,"Freshworks seeks a Data Scientist to apply ML techniques to business problems, design intelligent systems, and collaborate with teams."
