,Job_Title,Company_Website,Job Details,Selected Role Daily Task
0,Data Science,https://in.linkedin.com/company/hrnessdcs,"['Entry level', 'Internship', 'Engineering and Information Technology', 'Software Development']","Intern at Hrness.ai will work on HR analytics projects and create frameworks, directory, and synthetic data for AI services."
1,Data Scientist,https://www.linkedin.com/company/fusemachines,"['Mid-Senior level', 'Contract', 'Engineering and Information Technology', 'Internet Publishing']","Fusemachines seeks a Data Scientist for a remote, contract-based role to lead a cloud-based big data application."
2,Data Scientist - Kochi,https://in.linkedin.com/company/ripplesindia-group,"['Entry level', 'Full-time', 'Engineering and Information Technology', 'Airlines and Aviation, Aviation and Aerospace Component Manufacturing, and Banking']","Data Scientist with 3-8 years of experience needed to analyze large datasets, build predictive models, and communicate findings."
3,Data Scientist,https://in.linkedin.com/company/flexianalystpvtltd,"['Entry level', 'Full-time', 'Engineering and Information Technology', 'IT Services and IT Consulting']",Data analyst role seeking individual with strong collaboration and data analysis skills for actionable insights.
4,Data Scientist,https://www.linkedin.com/company/joveo,"['Associate', 'Full-time', 'Engineering', 'Software Development']",Joveo seeks a Data Scientist to develop ML systems using LLM/GenAI/GPT to enhance recruitment marketing transparency and efficiency.
5,Data Scientist,https://ae.linkedin.com/company/core42ai,"['Entry level', 'Full-time', 'Engineering and Information Technology', 'IT Services and IT Consulting']","Core42 seeks a Data Scientist to develop AI solutions, optimize processes, and drive business growth using data analysis and machine learning techniques."
6,Data Scientist,https://in.linkedin.com/company/nirafinance,"['Entry level', 'Full-time', 'Information Technology, Analyst, and Engineering', 'Accounting, Banking, and Financial Services']","Engineer role at NIRA involves building and scaling production systems, working on various systems, and developing models for fraud detection and credit risk assessment."
7,ML Engineer / Scientist,https://in.linkedin.com/company/ia-ooo,"['Entry level', 'Full-time', 'Information Technology, Analyst, and Engineering', 'Technology, Information and Internet and IT Services and IT Consulting']","Phronetic.ai, a new AI venture, seeks skilled individuals to develop and deploy large-scale AI models for enterprises and governments."
8,Data Scientist - Python,https://in.linkedin.com/company/awign-enterprises,"['Entry level', 'Contract', 'Information Technology', 'Data Infrastructure and Analytics, Technology, Information and Internet, and Software Development']","6-month contractual remote data analyst role, requiring immediate joiner. Responsibilities include data analysis, experimentation, and building insights for clients. Must be proficient in Python and data analysis techniques."
9,Data Scientist,https://mx.linkedin.com/company/aplazo,"['Entry level', 'Full-time', 'Information Technology, Analyst, and Engineering', 'Accounting, Banking, and Financial Services']","Data Scientist role at Aplazo involves developing ML solutions, building credit strategies, and implementing new products using ML/DL."
